Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
609872;ADM;PASS;0;9;10;10;17;12;11;10;13;14;13;;182;M;16;CEG NAGBENI
609873;ADM;PASS;6;11;10;8;13;11;14;11;12;10;17;;180;M;19;CEG NAGBENI
609874;AJ;;1;7;9;4;12;13;8;4;9;10;8;;126;M;14;CEG NAGBENI
609875;AJ;;0;8;9;8;14;8;11;8;11;10;12;;148;M;14;CEG NAGBENI
609876;ADM;PASS;7;7;9;4;17;9;13;7;12;13;12;;161;M;16;CEG NAGBENI
609877;AJ;;0;1;9;3;11;8;8;5;10;13;10;;112;M;20;CEG NAGBENI
609878;ADM;PASS;0;8;9;6;18;11;9;10;9;15;15;;162;F;19;CEG NAGBENI
609879;AJ;;0;7;9;7;14;7;9;5;10;11;13;;133;M;14;CEG KANKANGOU
609880;ADM;PASS;3;9;9;3;18;10;12;8;16;10;16;;169;M;15;CEG NAGBENI
609881;ADM;ABIEN;9;14;10;11;18;17;16;10;14;10;8;;215;M;14;CEG NAGBENI
609882;ADM;PASS;12;11;9;7;17;10;14;8;15;11;14;;188;M;18;CEG NAGBENI
609883;ADM;PASS;12;11;9;6;15;13;16;8;12;12;12;;185;M;19;CEG KPEBONGA
609884;AJ;;0;5;9;3;9;13;12;4;12;13;9;;132;M;17;CEG KPEBONGA
609885;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;19;CEG NAGBENI
609886;ADM;PASS;2;9;10;3;15;12;14;9;13;14;15;;172;M;15;CEG NAGBENI
609887;ADM;PASS;9;12;8;8;15;11;12;7;16;0;15;;180;M;20;CEG NAGBENI
609888;AJ;;0;5;11;3;8;9;8;6;10;13;5;;118;F;19;CEG NAGBENI
609889;ADM;PASS;9;17;11;2;16;9;14;9;16;0;14;;184;M;14;CEG NAGBENI
609890;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;20;CEG KANKANGOU
609891;ADM;PASS;2;6;10;5;15;11;14;8;10;12;14;;160;M;17;CEG NAGBENI
609892;AJ;;3;4;9;5;11;9;13;7;9;10;6;;133;M;15;CEG KPEBONGA
609893;ADM;PASS;2;8;10;4;14;15;16;8;14;11;12;;175;M;18;CEG KPEBONGA
609894;ADM;PASS;1;7;8;4;16;12;15;7;11;11;15;;160;M;21;CEG KPEBONGA
609895;ADM;PASS;0;15;9;8;18;14;15;9;12;10;13;;188;M;15;CEG KPEBONGA
609896;AJ;;0;5;10;1;17;9;10;3;14;12;18;;140;M;20;CEG NAGBENI
609897;AJ;;2;7;11;2;13;8;13;5;10;13;8;;136;F;16;CEG NAGBENI
609898;ADM;ABIEN;5;14;10;9;18;13;16;11;11;10;13;;198;M;18;CEG NAGBENI
